meter_ref_no,cnic,consumer_name,installation_address,city,province,date,connection_type,sanctioned_load_kw,avg_monthly_bill_pkr,billing_month,billing_year,provider_disco
FESCO-68627396,35202-1001413-1,Hira Shah,"House 833, Street 17, Madina Town, Faisalabad",Faisalabad,Punjab,2018-10-04,Residential,50,37213,4,2018,FESCO
IESCO-53335240,45501-1001027-9,Chaudhry Umer Farooq,"House 546, Street 9, Bahria Town, Rawalpindi",Rawalpindi,Punjab,2025-01-11,Residential,25,30353,11,2025,IESCO
MEPCO-12571166,54400-1000579-3,R. Noor,"House 550, Street 31, DHA Multan, Multan",Multan,Punjab,2016-09-10,Residential,5,73337,11,2016,MEPCO
QESCO-69171084,61101-1000233-1,A. Iqbal,"House 575, Street 9, Samungli Road, Quetta",Quetta,Balochistan,2018-04-07,Residential,25,32702,11,2018,QESCO
FESCO-42074052,42101-1000889-3,N. Aslam,"House 505, Street 9, People Colony, Faisalabad",Faisalabad,Punjab,2023-05-20,Residential,25,10785,2,2023,FESCO
SEPCO-60415758,33100-1000892-4,Chaudhry Maham Tariq,"House 531, Street 19, Military Road, Sukkur",Sukkur,Sindh,2017-09-10,Residential,50,12402,2,2017,SEPCO
HESCO-91437629,54400-1000350-0,W. Akram,"House 872, Street 34, Auto Bhan, Hyderabad",Hyderabad,Sindh,2021-12-13,Residential,5,61207,10,2021,HESCO
QESCO-15941900,17301-1000995-5,Chaudhry Danish Butt,"House 903, Street 25, Satellite Town, Quetta",Quetta,Balochistan,2019-10-30,Residential,3,17701,6,2019,QESCO
MEPCO-61311983,33100-1000487-9,Chaudhry Khalid Malik,"House 480, Street 21, DHA Multan, Multan",Multan,Punjab,2019-06-27,Residential,25,11354,11,2019,MEPCO
MEPCO-97542653,33100-1000487-9,Chaudhry Khalid Malik,"House 480, Street 21, DHA Multan, Multan",Multan,Punjab,2020-05-12,Residential,7,32692,8,2020,MEPCO
IESCO-82860671,45501-1001773-1,A. Iqbal,"House 716, Street 20, E-11, Islamabad",Islamabad,Islamabad,2020-09-16,Residential,7,70430,1,2020,IESCO
GEPCO-49433045,54400-1000476-2,T. Hussain,"House 505, Street 1, Satellite Town, Gujranwala",Gujranwala,Punjab,2021-07-20,Residential,50,30360,1,2021,GEPCO
LESCO-66925878,42101-1000745-5,Zainab Ahmed,"House 921, Street 10, Bahria Town, Lahore",Lahore,Punjab,2023-05-24,Residential,50,22042,8,2023,LESCO
LESCO-12387372,33100-1001107-9,Muneeb Akhtar Sahib,"House 976, Street 3, Johar Town, Lahore",Lahore,Punjab,2021-05-02,Residential,25,52993,1,2021,LESCO
GEPCO-87333545,33100-1001689-3,S. Iqbal,"House 747, Street 22, Model Town, Gujranwala",Gujranwala,Punjab,2016-11-02,Residential,50,19864,1,2016,GEPCO
IESCO-95244915,61101-1001435-5,Waseem Akram,"House 759, Street 26, Chaklala, Rawalpindi",Rawalpindi,Punjab,2026-04-23,Residential,3,35484,3,2026,IESCO
PESCO-40446797,54400-1001986-2,M. Malik,"House 858, Street 12, Hayatabad, Peshawar",Peshawar,KPK,2017-04-16,Residential,3,16516,1,2017,PESCO
GEPCO-37838104,61101-1001116-2,N. Raza,"House 684, Street 21, Satellite Town, Gujranwala",Gujranwala,Punjab,2023-10-19,Residential,7,43591,4,2023,GEPCO
K-26694752,42101-1000067-9,Khalid Malik,"House 432, Street 21, Bahadurabad, Karachi",Karachi,Sindh,2022-07-20,Residential,10,16647,4,2022,K-Electric
K-87145308,61101-1000043-1,Fatima Ali,"House 892, Street 30, Gulshan-e-Iqbal, Karachi",Karachi,Sindh,2023-06-19,Residential,7,38344,5,2023,K-Electric
IESCO-83261543,17301-1000654-8,Laiba Khan Sahib,"House 843, Street 24, Bahria Enclave, Islamabad",Islamabad,Islamabad,2018-06-22,Residential,5,18148,7,2018,IESCO
MEPCO-31361340,35202-1001708-6,K. Qureshi,"House 726, Street 1, Gulgasht, Multan",Multan,Punjab,2017-02-06,Commercial,3,175379,2,2017,MEPCO
GEPCO-36069182,42101-1000027-9,A. Baig,"House 786, Street 34, Civil Lines, Gujranwala",Gujranwala,Punjab,2024-10-31,Residential,15,71203,2,2024,GEPCO
GEPCO-36802576,42101-1000027-9,Ahmed Baig,"House 786, Street 34, Civil Lines, Gujranwala",Gujranwala,Punjab,2019-09-23,Residential,25,71649,1,2019,GEPCO
GEPCO-42057121,17301-1001210-0,Imran Siddiqui,"House 846, Street 31, Wapda Town, Gujranwala",Gujranwala,Punjab,2025-06-28,Residential,15,66105,10,2025,GEPCO
MEPCO-96901525,35202-1000149-3,Chaudhry Sana Iqbal,"House 204, Street 6, Gulgasht, Multan",Multan,Punjab,2024-12-08,Residential,10,30143,2,2024,MEPCO
IESCO-14876247,35202-1001644-8,Amna Chaudhry,"House 150, Street 16, PWD, Rawalpindi",Rawalpindi,Punjab,2023-05-07,Residential,10,6179,8,2023,IESCO
LESCO-22352483,33100-1000499-3,S. Iqbal,"House 910, Street 28, Model Town, Lahore",Lahore,Punjab,2024-12-15,Residential,10,62353,9,2024,LESCO
LESCO-35909567,35202-1000231-7,Taha Hussain,"House 353, Street 13, Model Town, Lahore",Lahore,Punjab,2022-12-03,Residential,7,71392,7,2022,LESCO
GEPCO-73505156,17301-1001172-4,M. Tariq,"House 333, Street 22, Satellite Town, Gujranwala",Gujranwala,Punjab,2026-06-19,Residential,3,9063,8,2026,GEPCO
FESCO-83198462,17301-1001154-8,Chaudhry Amna Chaudhry,"House 884, Street 19, D Ground, Faisalabad",Faisalabad,Punjab,2024-11-27,Residential,50,16065,4,2024,FESCO
FESCO-94982454,17301-1001154-8,Amna Chaudhry,"House 884, Street 19, D Ground, Faisalabad",Faisalabad,Punjab,2020-07-24,Commercial,7,171143,4,2020,FESCO
LESCO-15402497,17301-1001197-9,Ayesha Khan,"House 503, Street 26, Bahria Town, Lahore",Lahore,Punjab,2019-05-06,Residential,5,21079,10,2019,LESCO
LESCO-17326361,17301-1001197-9,A. Khan,"House 503, Street 26, Bahria Town, Lahore",Lahore,Punjab,2024-02-18,Residential,3,74754,11,2024,LESCO
QESCO-41420830,61101-1000571-7,S. Qureshi,"House 71, Street 13, Brewery Road, Quetta",Quetta,Balochistan,2016-12-17,Commercial,7,309411,9,2016,QESCO
K-36017352,17301-1000403-1,K. Javed,"House 394, Street 28, Clifton, Karachi",Karachi,Sindh,2017-03-11,Residential,3,62949,11,2017,K-Electric
PESCO-12255324,61101-1001344-8,Chaudhry Nimra Aslam,"House 777, Street 25, University Road, Peshawar",Peshawar,KPK,2023-04-20,Residential,10,58979,9,2023,PESCO
IESCO-79728085,42101-1000224-8,Nimra Aslam,"House 75, Street 15, Bahria Town, Rawalpindi",Rawalpindi,Punjab,2021-12-12,Residential,7,24365,2,2021,IESCO
IESCO-65953469,61101-1001312-4,Maham Tariq,"House 167, Street 8, DHA Phase 2, Islamabad",Islamabad,Islamabad,2024-08-30,Residential,7,14330,7,2024,IESCO
HESCO-35413230,33100-1001602-4,Ahmed Baig,"House 285, Street 3, Qasimabad, Hyderabad",Hyderabad,Sindh,2025-10-19,Commercial,5,207330,3,2025,HESCO
HESCO-22653073,33100-1001602-4,Ahmed Baig,"House 285, Street 3, Qasimabad, Hyderabad",Hyderabad,Sindh,2022-06-28,Residential,3,47132,2,2022,HESCO
GEPCO-10149698,17301-1000258-6,Chaudhry Hira Shah,"House 750, Street 8, Model Town, Gujranwala",Gujranwala,Punjab,2022-01-05,Residential,3,26499,2,2022,GEPCO
GEPCO-12623377,17301-1000258-6,H. Shah,"House 750, Street 8, Model Town, Gujranwala",Gujranwala,Punjab,2026-12-07,Residential,15,60651,3,2026,GEPCO
MEPCO-20633828,61101-1000681-7,Chaudhry Fahad Mirza,"House 493, Street 23, Cantt, Multan",Multan,Punjab,2018-08-20,Residential,10,15079,2,2018,MEPCO
MEPCO-37507433,61101-1000681-7,Fahad Mirza,"House 493, Street 23, Cantt, Multan",Multan,Punjab,2020-09-26,Commercial,7,137923,2,2020,MEPCO
IESCO-56309094,17301-1000112-4,Ayesha Khan,"House 593, Street 28, PWD, Rawalpindi",Rawalpindi,Punjab,2016-04-28,Residential,5,36287,7,2016,IESCO
GEPCO-64189460,54400-1001779-3,Nida Hussain,"House 36, Street 7, Satellite Town, Gujranwala",Gujranwala,Punjab,2019-06-04,Commercial,5,82632,12,2019,GEPCO
GEPCO-63896721,54400-1001779-3,N. Hussain,"House 36, Street 7, Satellite Town, Gujranwala",Gujranwala,Punjab,2020-01-23,Commercial,3,312318,2,2020,GEPCO
LESCO-56226347,42101-1000663-1,S. Butt,"House 367, Street 17, Model Town, Lahore",Lahore,Punjab,2026-08-28,Residential,10,63669,4,2026,LESCO
LESCO-65252152,17301-1001016-2,Muhammad Ahmed Sahib,"House 173, Street 3, Gulberg, Lahore",Lahore,Punjab,2016-05-07,Residential,7,29058,7,2016,LESCO
PESCO-28531379,54400-1000014-8,Nimra Aslam,"House 807, Street 22, Hayatabad, Peshawar",Peshawar,KPK,2019-08-03,Residential,7,44668,2,2019,PESCO
HESCO-95880180,42101-1001500-0,Huma Ghani Sahib,"House 307, Street 31, Auto Bhan, Hyderabad",Hyderabad,Sindh,2016-01-05,Residential,10,73423,11,2016,HESCO
HESCO-43920522,42101-1001500-0,Huma Ghani Sahib,"House 307, Street 31, Auto Bhan, Hyderabad",Hyderabad,Sindh,2016-06-20,Residential,50,50197,2,2016,HESCO
GEPCO-62836159,45501-1001422-4,Muneeb Akhtar,"House 627, Street 13, Model Town, Gujranwala",Gujranwala,Punjab,2018-06-24,Residential,50,40355,12,2018,GEPCO
IESCO-74562831,33100-1001550-0,Zainab Ahmed Sahib,"House 743, Street 19, F-10, Islamabad",Islamabad,Islamabad,2020-09-13,Residential,5,120367,9,2020,IESCO
IESCO-98937838,33100-1001998-6,Chaudhry Hassan Khan,"House 957, Street 1, DHA Phase 2, Islamabad",Islamabad,Islamabad,2025-05-13,Industrial,10,663020,5,2025,IESCO
HESCO-37963871,42101-1000036-2,Muhammad Ahmed Sahib,"House 989, Street 13, Hussainabad, Hyderabad",Hyderabad,Sindh,2019-06-15,Residential,15,66363,10,2019,HESCO
MEPCO-26224427,61101-1000239-3,Chaudhry Nida Hussain,"House 909, Street 8, Bosan Road, Multan",Multan,Punjab,2024-11-11,Residential,15,56643,5,2024,MEPCO
IESCO-40118399,45501-1001816-2,N. Raza,"House 940, Street 21, PWD, Rawalpindi",Rawalpindi,Punjab,2021-09-19,Residential,50,39259,6,2021,IESCO
QESCO-90596267,54400-1001441-7,Chaudhry Hamza Sheikh,"House 293, Street 31, Satellite Town, Quetta",Quetta,Balochistan,2026-07-10,Residential,3,26227,9,2026,QESCO
IESCO-26333160,33100-1000494-8,Bilal Ahmed,"House 577, Street 33, PWD, Rawalpindi",Rawalpindi,Punjab,2024-03-26,Residential,10,27933,11,2024,IESCO
FESCO-68688122,61101-1000268-6,A. Iqbal,"House 316, Street 4, People Colony, Faisalabad",Faisalabad,Punjab,2023-11-13,Commercial,5,387484,9,2023,FESCO
QESCO-57603972,42101-1001981-7,T. Hussain,"House 770, Street 8, Samungli Road, Quetta",Quetta,Balochistan,2021-08-30,Residential,50,45231,9,2021,QESCO
LESCO-91531383,54400-1001010-0,Huma Ghani,"House 41, Street 35, Gulberg, Lahore",Lahore,Punjab,2017-09-14,Residential,15,3671,7,2017,LESCO
LESCO-48652649,54400-1001010-0,Huma Ghani,"House 41, Street 35, Gulberg, Lahore",Lahore,Punjab,2017-03-02,Residential,10,45785,4,2017,LESCO
HESCO-25222606,17301-1000948-6,Chaudhry Hassan Khan,"House 930, Street 2, Saddar, Hyderabad",Hyderabad,Sindh,2023-06-25,Residential,5,20207,6,2023,HESCO
PESCO-52021621,42101-1000785-5,Chaudhry Danish Butt,"House 405, Street 31, Hayatabad, Peshawar",Peshawar,KPK,2020-09-17,Residential,10,65082,4,2020,PESCO
IESCO-27522166,54400-1001823-1,Hassan Khan Sahib,"House 80, Street 15, G-11, Islamabad",Islamabad,Islamabad,2020-12-31,Residential,25,61546,12,2020,IESCO
PESCO-19128206,54400-1001781-7,N. Raza,"House 778, Street 28, Gulbahar, Peshawar",Peshawar,KPK,2019-01-09,Residential,5,3371,11,2019,PESCO
IESCO-54812216,54400-1000402-4,Maham Tariq Sahib,"House 242, Street 19, Saddar, Rawalpindi",Rawalpindi,Punjab,2022-06-26,Residential,50,29904,3,2022,IESCO
LESCO-54649205,35202-1001921-7,N. Raza,"House 108, Street 16, Gulberg, Lahore",Lahore,Punjab,2026-11-01,Residential,10,40349,8,2026,LESCO
MEPCO-86318399,35202-1000489-3,Amna Chaudhry,"House 62, Street 26, DHA Multan, Multan",Multan,Punjab,2019-06-28,Residential,5,23900,7,2019,MEPCO
MEPCO-19110043,35202-1000489-3,Amna Chaudhry Sahib,"House 62, Street 26, DHA Multan, Multan",Multan,Punjab,2017-01-10,Residential,25,25517,11,2017,MEPCO
PESCO-32869229,33100-1001819-3,A. Chaudhry,"House 107, Street 7, Warsak Road, Peshawar",Peshawar,KPK,2025-12-08,Residential,15,10156,8,2025,PESCO
K-96517283,42101-1001008-6,Kamran Qureshi,"House 965, Street 15, Nazimabad, Karachi",Karachi,Sindh,2025-12-29,Residential,5,12269,2,2025,K-Electric
MEPCO-58351280,17301-1000196-2,Taha Hussain,"House 835, Street 21, Gulgasht, Multan",Multan,Punjab,2018-01-18,Industrial,15,728777,7,2018,MEPCO
FESCO-70957519,61101-1000295-5,D. Butt,"House 408, Street 2, Madina Town, Faisalabad",Faisalabad,Punjab,2018-10-14,Residential,3,53020,10,2018,FESCO
K-91246053,35202-1000302-4,Muneeb Akhtar Sahib,"House 502, Street 9, Gulshan-e-Iqbal, Karachi",Karachi,Sindh,2026-02-11,Residential,50,40163,9,2026,K-Electric
IESCO-72862224,42101-1000052-4,M. Tariq,"House 30, Street 28, DHA Phase 2, Islamabad",Islamabad,Islamabad,2026-12-25,Industrial,5,362759,10,2026,IESCO
HESCO-77672492,35202-1001840-0,Imran Siddiqui,"House 278, Street 3, Latifabad, Hyderabad",Hyderabad,Sindh,2022-04-21,Residential,15,12818,3,2022,HESCO
IESCO-21302032,61101-1001621-7,Saad Qureshi,"House 108, Street 9, Chaklala, Rawalpindi",Rawalpindi,Punjab,2017-02-11,Commercial,3,261386,12,2017,IESCO
K-35948526,35202-1000281-7,Muhammad Ahmed,"House 314, Street 32, Nazimabad, Karachi",Karachi,Sindh,2023-01-01,Residential,3,4321,6,2023,K-Electric
IESCO-30218360,33100-1001716-2,Muhammad Ahmed,"House 871, Street 29, Satellite Town, Rawalpindi",Rawalpindi,Punjab,2026-03-26,Commercial,50,301015,10,2026,IESCO
K-97223038,42101-1000101-7,Naveed Raza,"House 868, Street 8, Bahadurabad, Karachi",Karachi,Sindh,2023-04-13,Residential,10,51713,12,2023,K-Electric
MEPCO-49103637,35202-1001618-6,Fatima Ali,"House 981, Street 20, DHA Multan, Multan",Multan,Punjab,2023-07-10,Residential,5,64456,2,2023,MEPCO
HESCO-45767557,54400-1001920-0,Huma Ghani,"House 777, Street 23, Saddar, Hyderabad",Hyderabad,Sindh,2017-02-24,Commercial,10,56290,2,2017,HESCO
MEPCO-40764668,61101-1000349-3,A. Chaudhry,"House 204, Street 27, DHA Multan, Multan",Multan,Punjab,2018-07-17,Residential,15,7536,1,2018,MEPCO
FESCO-84439224,35202-1001760-0,Z. Ahmed,"House 52, Street 32, Canal Road, Faisalabad",Faisalabad,Punjab,2016-05-22,Residential,10,64426,1,2016,FESCO
FESCO-85228270,35202-1001760-0,Z. Ahmed,"House 52, Street 32, Canal Road, Faisalabad",Faisalabad,Punjab,2022-02-19,Residential,7,46071,8,2022,FESCO
IESCO-45968439,17301-1000223-1,Hira Shah,"House 150, Street 33, Chaklala, Rawalpindi",Rawalpindi,Punjab,2021-05-20,Residential,50,21305,7,2021,IESCO
QESCO-56924118,33100-1001072-4,Muneeb Akhtar,"House 478, Street 18, Brewery Road, Quetta",Quetta,Balochistan,2020-06-10,Residential,25,53358,7,2020,QESCO
IESCO-50718852,45501-1001040-0,S. Ahmed,"House 275, Street 11, Bahria Town, Rawalpindi",Rawalpindi,Punjab,2018-05-03,Commercial,25,173183,5,2018,IESCO
IESCO-48934297,17301-1000426-2,Chaudhry Hamza Sheikh,"House 832, Street 10, Bahria Town, Rawalpindi",Rawalpindi,Punjab,2023-08-03,Commercial,10,69151,10,2023,IESCO
GEPCO-50324001,35202-1001836-2,Fahad Mirza,"House 725, Street 18, Civil Lines, Gujranwala",Gujranwala,Punjab,2020-11-22,Residential,10,8870,4,2020,GEPCO
GEPCO-90203795,35202-1001926-2,Chaudhry Muhammad Ahmed,"House 200, Street 21, Peoples Colony, Gujranwala",Gujranwala,Punjab,2024-07-06,Residential,15,20230,12,2024,GEPCO
MEPCO-41878471,33100-1001999-3,B. Ahmed,"House 482, Street 28, Shah Rukn-e-Alam, Multan",Multan,Punjab,2026-03-11,Residential,50,32563,12,2026,MEPCO
MEPCO-44419868,33100-1001999-3,Bilal Ahmed,"House 482, Street 28, Shah Rukn-e-Alam, Multan",Multan,Punjab,2016-01-04,Residential,7,36078,6,2016,MEPCO
HESCO-24251883,61101-1001765-5,Danish Butt,"House 945, Street 7, Latifabad, Hyderabad",Hyderabad,Sindh,2020-11-22,Residential,10,32119,8,2020,HESCO
K-40440824,35202-1000628-6,Chaudhry Shazia Butt,"House 796, Street 29, Nazimabad, Karachi",Karachi,Sindh,2018-07-25,Residential,3,4110,12,2018,K-Electric
HESCO-83929298,17301-1000140-0,W. Akram,"House 756, Street 22, Latifabad, Hyderabad",Hyderabad,Sindh,2023-03-09,Residential,15,68800,1,2023,HESCO
PESCO-95346734,42101-1000098-6,Kamran Qureshi Sahib,"House 645, Street 17, Warsak Road, Peshawar",Peshawar,KPK,2024-11-05,Commercial,5,260459,2,2024,PESCO
IESCO-16890700,35202-1001424-8,L. Khan,"House 763, Street 18, Saddar, Rawalpindi",Rawalpindi,Punjab,2022-01-05,Residential,7,18324,5,2022,IESCO
PESCO-49606638,42101-1001785-5,Waseem Akram Sahib,"House 325, Street 3, Gulbahar, Peshawar",Peshawar,KPK,2023-03-17,Residential,15,8583,9,2023,PESCO
MEPCO-53052663,61101-1001363-1,Shazia Butt,"House 518, Street 22, DHA Multan, Multan",Multan,Punjab,2020-05-11,Residential,10,60089,11,2020,MEPCO
IESCO-56918445,54400-1001292-4,Khalid Malik Sahib,"House 373, Street 15, PWD, Rawalpindi",Rawalpindi,Punjab,2020-03-27,Commercial,25,269697,5,2020,IESCO
MEPCO-39811608,35202-1001939-3,Nimra Aslam,"House 596, Street 8, Shah Rukn-e-Alam, Multan",Multan,Punjab,2020-03-13,Residential,10,18310,4,2020,MEPCO
HESCO-79660775,17301-1000208-6,S. Butt,"House 560, Street 32, Auto Bhan, Hyderabad",Hyderabad,Sindh,2020-11-02,Industrial,25,218206,4,2020,HESCO
MEPCO-88057327,17301-1001988-6,Kamran Qureshi,"House 840, Street 12, Shah Rukn-e-Alam, Multan",Multan,Punjab,2016-08-27,Residential,5,44666,1,2016,MEPCO
FESCO-89180982,33100-1000709-3,Sana Iqbal,"House 986, Street 10, Gulberg, Faisalabad",Faisalabad,Punjab,2018-07-20,Residential,5,5684,3,2018,FESCO
GEPCO-23139901,61101-1000497-9,Ayesha Khan,"House 741, Street 13, Civil Lines, Gujranwala",Gujranwala,Punjab,2017-01-31,Residential,10,44652,12,2017,GEPCO
GEPCO-68941944,61101-1000497-9,Ayesha Khan,"House 741, Street 13, Civil Lines, Gujranwala",Gujranwala,Punjab,2017-06-15,Residential,5,56347,8,2017,GEPCO
FESCO-14508488,61101-1001904-8,Nimra Aslam,"House 423, Street 11, Madina Town, Faisalabad",Faisalabad,Punjab,2016-02-23,Residential,7,4272,1,2016,FESCO
IESCO-63131204,33100-1001826-2,H. Sheikh,"House 938, Street 3, Saddar, Rawalpindi",Rawalpindi,Punjab,2023-05-13,Residential,7,45102,12,2023,IESCO
GEPCO-34343209,35202-1001094-8,Sana Iqbal,"House 523, Street 24, Wapda Town, Gujranwala",Gujranwala,Punjab,2021-11-02,Industrial,5,239134,10,2021,GEPCO
IESCO-26698973,61101-1001028-6,Hira Shah Sahib,"House 972, Street 2, DHA Phase 2, Islamabad",Islamabad,Islamabad,2024-04-02,Residential,50,54967,2,2024,IESCO
QESCO-97148230,33100-1000517-9,Ahmed Baig Sahib,"House 679, Street 26, Satellite Town, Quetta",Quetta,Balochistan,2025-12-23,Residential,3,32594,11,2025,QESCO
SEPCO-59053982,42101-1000021-7,Taha Hussain,"House 532, Street 23, Military Road, Sukkur",Sukkur,Sindh,2018-04-19,Residential,50,44786,3,2018,SEPCO
SEPCO-43184631,54400-1001006-2,Chaudhry Mariam Malik,"House 907, Street 1, Barrage Road, Sukkur",Sukkur,Sindh,2023-04-17,Residential,3,24083,7,2023,SEPCO
PESCO-91850489,45501-1000194-8,R. Noor,"House 677, Street 1, University Road, Peshawar",Peshawar,KPK,2021-03-29,Residential,7,212160,10,2021,PESCO
QESCO-53311999,45501-1001624-8,Nimra Aslam,"House 638, Street 12, Cantt, Quetta",Quetta,Balochistan,2025-08-22,Residential,7,29813,7,2025,QESCO
IESCO-63393135,45501-1001718-6,Chaudhry Hassan Khan,"House 486, Street 24, E-11, Islamabad",Islamabad,Islamabad,2023-10-27,Residential,50,33212,2,2023,IESCO
FESCO-31971379,61101-1000546-2,Chaudhry Taha Hussain,"House 192, Street 12, Madina Town, Faisalabad",Faisalabad,Punjab,2017-09-06,Residential,25,15253,4,2017,FESCO
HESCO-52520665,17301-1000324-8,Sana Iqbal Sahib,"House 505, Street 20, Qasimabad, Hyderabad",Hyderabad,Sindh,2016-08-21,Residential,15,72770,3,2016,HESCO
PESCO-80552074,42101-1001572-4,Chaudhry Khalid Malik,"House 944, Street 31, Gulbahar, Peshawar",Peshawar,KPK,2024-08-31,Residential,3,32259,1,2024,PESCO
QESCO-47739996,33100-1000868-6,Kamran Qureshi,"House 501, Street 5, Satellite Town, Quetta",Quetta,Balochistan,2021-04-01,Residential,50,52119,6,2021,QESCO
IESCO-91640674,42101-1000534-8,Sana Iqbal,"House 917, Street 16, G-11, Islamabad",Islamabad,Islamabad,2016-11-12,Commercial,5,142682,12,2016,IESCO
K-13505526,54400-1001140-0,Imran Siddiqui,"House 994, Street 9, DHA Phase 6, Karachi",Karachi,Sindh,2023-10-25,Residential,50,31257,1,2023,K-Electric
MEPCO-27975101,54400-1000808-6,Hassan Khan,"House 607, Street 32, Cantt, Multan",Multan,Punjab,2023-10-03,Residential,3,34450,2,2023,MEPCO
MEPCO-75564605,54400-1001321-7,Mariam Malik,"House 106, Street 22, Bosan Road, Multan",Multan,Punjab,2019-01-27,Commercial,5,281160,9,2019,MEPCO
FESCO-64361992,42101-1000344-8,Nida Hussain,"House 21, Street 13, People Colony, Faisalabad",Faisalabad,Punjab,2026-08-10,Residential,50,56095,8,2026,FESCO
FESCO-98900780,42101-1000344-8,N. Hussain,"House 21, Street 13, People Colony, Faisalabad",Faisalabad,Punjab,2019-09-28,Residential,15,71045,5,2019,FESCO
QESCO-46731272,35202-1001404-8,Bilal Ahmed,"House 352, Street 34, Brewery Road, Quetta",Quetta,Balochistan,2026-07-05,Residential,7,34341,2,2026,QESCO
IESCO-45001509,17301-1000532-4,Ayesha Khan,"House 276, Street 6, Chaklala, Rawalpindi",Rawalpindi,Punjab,2025-04-02,Commercial,25,233871,10,2025,IESCO
IESCO-82222373,17301-1000532-4,Chaudhry Ayesha Khan,"House 276, Street 6, Chaklala, Rawalpindi",Rawalpindi,Punjab,2019-11-15,Residential,10,26535,1,2019,IESCO
LESCO-31406201,42101-1000310-0,Huma Ghani,"House 191, Street 32, Model Town, Lahore",Lahore,Punjab,2016-12-23,Residential,3,42979,6,2016,LESCO
FESCO-39217125,45501-1001421-7,Taha Hussain Sahib,"House 694, Street 32, Gulberg, Faisalabad",Faisalabad,Punjab,2021-01-30,Commercial,15,256447,5,2021,FESCO
GEPCO-77998850,35202-1001217-9,Chaudhry Ahmed Baig,"House 900, Street 29, Model Town, Gujranwala",Gujranwala,Punjab,2018-04-24,Residential,15,51742,1,2018,GEPCO
QESCO-56113008,54400-1000512-4,Chaudhry Muneeb Akhtar,"House 327, Street 5, Jinnah Town, Quetta",Quetta,Balochistan,2019-07-15,Residential,25,66673,7,2019,QESCO
SEPCO-32610078,42101-1001119-3,Chaudhry Amna Chaudhry,"House 894, Street 16, Rohri, Sukkur",Sukkur,Sindh,2025-01-30,Residential,25,49185,5,2025,SEPCO
GEPCO-93530325,45501-1001039-3,L. Khan,"House 523, Street 28, Wapda Town, Gujranwala",Gujranwala,Punjab,2019-04-05,Residential,15,71377,1,2019,GEPCO
FESCO-66147267,45501-1001431-7,Naveed Raza Sahib,"House 816, Street 19, Madina Town, Faisalabad",Faisalabad,Punjab,2020-03-01,Residential,15,48198,5,2020,FESCO
PESCO-79156937,42101-1000629-3,A. Chaudhry,"House 565, Street 33, University Road, Peshawar",Peshawar,KPK,2017-03-16,Residential,50,4026,7,2017,PESCO
